Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Wurth_WCAP-FTBP-P22.5L26W7H16.5,1,1.5 uF,
C2,0805,1,100n,
D1,0805,1,LED,
P1,691382000004,1,691382010004,
P2,691321300002,1,691322110002,
Q1,TO-252-2,1,T835-600B-TR,
"R1, R2",0805,2,4k7,
"R3, R4",0805,2,470R,
R5,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,1,3k3/2W,
R6,0805,1,1k,
SW1,SW_SPST_FSMSM,1,SW_Push,
U1,ACDC-230,1,youmile_230acdc,
U2,MODULE_ESP32-C3_SUPERMINI_TH,1,ESP32-C3_SUPERMINI_TH,
U3,SOT-23-6,1,TLV493D,
U4,DIP-6_W7.62mm_SMDSocket_SmallPads,1,MOC3043M,
