Designator,Mid X,Mid Y,Rotation,Layer
C1,89.5,-159.5,270.0,top
C2,122.095,-175.005,0.0,bottom
D1,113.5,-176.475,270.0,top
H1,145.0,-151.2,0.0,top
H2,145.0,-174.5,0.0,top
H3,99.0,-174.5,0.0,top
P1,99.0,-152.75,270.0,top
P2,110.30006,-151.705,0.0,top
Q1,99.26,-165.525,180.0,top
R1,113.5,-168.5,0.0,top
R2,113.5,-171.0,0.0,top
R3,113.5,-184.5,270.0,top
R4,113.5,-180.5,90.0,top
R5,108.675,-169.62,90.0,top
R6,110.0,-158.0,180.0,top
SW1,138.5,-181.0,90.0,top
U1,139.0,-147.75,180.0,top
U2,125.38,-177.35,180.0,top
U3,122.0,-171.5,180.0,bottom
U4,106.175,-183.04,180.0,top
